Phase,Week,Action,Owner,Due Date,Status,Evidence or Link,Review Notes
Days 1-30,1,Name the executive sponsor pilot leader and cross-functional team,,,,,
Days 1-30,1,Define pilot boundaries equipment and safety rules,,,,,
Days 1-30,2,Agree on loss categories and baseline data definitions,,,,,
Days 1-30,2,Baseline OEE downtime MTBF MTTR and planned maintenance percentage,,,,,
Days 1-30,3,Restore basic equipment conditions and log red tags,,,,,
Days 1-30,4,Select the first focused-improvement loss and owner,,,,,
Days 31-60,5,Publish operator cleaning inspection and lubrication standards,,,,,
Days 31-60,5,Define abnormality escalation and work-order rules,,,,,
Days 31-60,6,Review PM tasks against failure modes and actual history,,,,,
Days 31-60,7,Complete operator and technician skill-gap training,,,,,
Days 31-60,8,Verify the first countermeasure and update standard work,,,,,
Days 61-90,9,Audit autonomous and planned-maintenance routines,,,,,
Days 61-90,10,Review parts readiness job plans and schedule attainment,,,,,
Days 61-90,11,Recalculate KPI baseline and investigate unintended tradeoffs,,,,,
Days 61-90,12,Close overdue actions and decide whether to stabilize or expand,,,,,
