Evaluation area,Required workflow or question,Evidence to capture,Must have,Vendor response,Demonstrated score (0-3),Owner,Decision notes
Technician workflow,"Create, update, and close a work order on the actual mobile experience","Demo recording or trial evidence",Yes,,,,
Request intake,"Submit a public request, review it, and convert accepted work","Live workflow and required fields",Yes,,,,
Asset history,"Find all work, notes, attachments, labor, parts, and cost for one asset","Export or live asset record",Yes,,,,
Preventive maintenance,"Show every supported trigger type and what happens when work is missed","Configured example and audit history",Yes,,,,
Inspections,"Complete a checklist, capture a failed item, and create follow-up work","Mobile example and resulting record",Yes,,,,
Permissions,"Show what each role can read and change","Role matrix and live role test",Yes,,,,
Data portability,"Import a representative asset file and export complete records","Sample import result and full export",Yes,,,,
Reporting,"Reproduce the team's backlog, PM compliance, downtime, and cost definitions","Report output and field definitions",No,,,,
Integrations,"Verify API, authentication, fields, limits, failure handling, and implementation owner","Documentation and scoped test",No,,,,
Implementation,"List migration, configuration, training, and support responsibilities","Written statement of work",Yes,,,,
Security,"Document tenant isolation, authentication, retention, backups, and incident process","Current security documentation",Yes,,,,
Pricing,"Calculate today's and next year's seats, limits, add-ons, onboarding, and support","Written quote with assumptions",Yes,,,,
Product boundary,"Separate available product facts from beta, roadmap, partner, and custom work","Signed response with status for each item",Yes,,,,
References,"Speak with a customer using a similar workflow and team size","Reference notes",No,,,,
